2020-01-30 09:53:32,228 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@57baeedf: startup date [Thu Jan 30 09:53:32 COT 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-01-30 09:53:34,052 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\TAS-ON\apache-activemq-5.15.9\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2020-01-30 09:53:34,230 | INFO  | Page File: D:\TAS-ON\apache-activemq-5.15.9\bin\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2020-01-30 09:53:34,243 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-30 09:53:34,254 | INFO  | Page File: D:\TAS-ON\apache-activemq-5.15.9\bin\..\data\kahadb\db.data. Recovered pageFile free list of size: 0 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2020-01-30 09:53:34,391 | INFO  | PListStore:[D:\TAS-ON\apache-activemq-5.15.9\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-01-30 09:53:34,569 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:PATO-55812-1580396014413-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-01-30 09:53:34,773 | INFO  | Listening for connections at: tcp://PATO:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-01-30 09:53:34,778 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-01-30 09:53:34,795 | INFO  | Listening for connections at: amqp://PATO:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-01-30 09:53:34,803 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-01-30 09:53:34,813 | INFO  | Listening for connections at: stomp://PATO:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-01-30 09:53:34,816 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
