2018-11-12 00:40:51,035 | INFO  | Configuration will be discovered via JNDI | io.hawt.system.ConfigManager | ServerService Thread Pool -- 89
2018-11-12 00:40:51,042 | INFO  | Welcome to hawtio 1.4.19 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | ServerService Thread Pool -- 89
2018-11-12 00:40:51,046 | INFO  | Using file upload directory: /var/folders/fh/7qgmnh497s5blyyvkccqphy80000gn/T//uploads | io.hawt.jmx.UploadManager | ServerService Thread Pool -- 89
2018-11-12 00:40:51,272 | WARN  | No ConfigFacade constructed yet so using default configuration for now | io.hawt.config.ConfigFacade | ServerService Thread Pool -- 89
2018-11-12 00:40:51,276 | INFO  | hawtio using config directory: /Users/mauriciochilan/.hawtioCamelWiki/config | io.hawt.git.GitFacade | ServerService Thread Pool -- 89
2018-11-12 00:40:51,344 | INFO  | Performing a pull in git repository /Users/mauriciochilan/.hawtioCamelWiki/config on remote URL: https://github.com/hawtio/hawtio-camel-wiki-config.git. Subsequent pull attempts will use debug logging | io.hawt.git.GitFacade | ServerService Thread Pool -- 89
2018-11-12 00:40:52,986 | INFO  | Watching directory /Users/mauriciochilan/.hawtioCamelWiki/config for Spring XML files to load | io.fabric8.watcher.spring.context.WatcherSpringContext | ServerService Thread Pool -- 89
2018-11-12 00:40:52,989 | WARN  | Local JVM discovery disabled as this JVM cannot access com.sun.tools.attach.VirtualMachine due to: com/sun/tools/attach/VirtualMachine | io.hawt.jvm.local.JVMList | ServerService Thread Pool -- 89
2018-11-12 00:40:53,052 | INFO  | Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@124f875b: startup date [Mon Nov 12 00:40:53 ECT 2018]; root of context hierarchy | org.springframework.context.support.FileSystemXmlApplicationContext | pool-22-thread-3
2018-11-12 00:40:53,052 | INFO  | Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@2e165994: startup date [Mon Nov 12 00:40:53 ECT 2018]; root of context hierarchy | org.springframework.context.support.FileSystemXmlApplicationContext | pool-22-thread-4
2018-11-12 00:40:53,745 | INFO  | PListStore:[/Users/mauriciochilan/RedCode/clientes/TAS-ON/server/jboss-eap-7.0/bin/activemq-data/broker1/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | pool-22-thread-3
